,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
60,Trial # 56,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0314.jpg,1,Group1_IMG_0314.jpg,,,,,0.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.5046756850206,None,942.5046756850206,None,942.5046756850206,None,1.0,2.263304961990798,942.5046756850206,None,942.5046756850206,None,1.0,2.78742117100046,944.3233393110276,None,942.5046756850206,None,1.0,3.426234513986856,944.8567826220242,None,942.5046756850206,None,space,0.6083538189996034,3.452218697406352,None,942.5046756850206,None,942.5046756850206,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
61,Trial # 57,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0532.jpg,0,encoded_Group2_IMG_0532.jpg,,,,,0.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946.6060645360268,None,946.6060645360268,None,946.6060645360268,None,4.0,3.848406873003114,946.6060645360268,None,946.6060645360268,None,2.0,5.854150956001831,949.9924790100196,None,946.6060645360268,None,3.0,7.927018943009898,952.0254245190008,None,946.6060645360268,None,space,1.1738909410196356,7.955526191391982,None,946.6060645360268,None,946.6060645360268,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
62,Trial # 58,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0462.jpg,0,encoded_Group2_IMG_0462.jpg,,,,,0.0,57.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.775607920019,None,955.775607920019,None,955.775607920019,None,5.0,2.6976313309860416,955.775607920019,None,955.775607920019,None,3.0,4.255103756993776,958.0265921850224,None,955.775607920019,None,4.0,5.961340920999646,959.5937355310016,None,955.775607920019,None,space,1.196250848006457,5.9890936613956,None,955.775607920019,None,955.775607920019,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
63,Trial # 59,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0172.jpg,1,Group1_IMG_0172.jpg,,,,,0.0,58.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.9944759080244,None,962.9944759080244,None,962.9944759080244,None,1.0,1.896666683984222,962.9944759080244,None,962.9944759080244,None,1.0,2.4855986769835,964.4291850060108,None,962.9944759080244,None,1.0,3.191734007996274,965.0290538620028,None,962.9944759080244,None,space,1.1282981249969453,3.217521046375623,None,962.9944759080244,None,962.9944759080244,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
64,Trial # 60,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_4841.jpg,1,Group1_IMG_4841.jpg,,,,,0.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.3464784550016,None,967.3464784550016,None,967.3464784550016,None,5.0,2.7806611489795614,967.3464784550016,None,967.3464784550016,None,4.0,5.036186968005495,969.6805502820062,None,967.3464784550016,None,5.0,7.676060780999251,971.9477239680128,None,967.3464784550016,None,space,0.9793397259782068,7.703459288401063,None,967.3464784550016,None,967.3464784550016,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
65,Trial # 61,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0352.jpg,0,encoded_Group2_IMG_0352.jpg,,,,,0.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.0662389210192,None,976.0662389210192,None,976.0662389210192,None,1.0,1.6479832159820944,976.0662389210192,None,976.0662389210192,None,1.0,2.2713689999945927,977.2656295090272,None,976.0662389210192,None,1.0,4.144056377001107,977.8994608600042,None,976.0662389210192,None,space,0.3786150950181763,4.173600119393086,None,976.0662389210192,None,976.0662389210192,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
66,Trial # 62,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9726.jpg,0,encoded_Group2_IMG_9726.jpg,,,,,0.0,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.6510915380204,None,980.6510915380204,None,980.6510915380204,None,6.0,2.113556915021036,980.6510915380204,None,980.6510915380204,None,5.0,6.903352701978292,982.3172097500064,None,980.6510915380204,None,2.0,8.542423773993505,987.118794648006,None,980.6510915380204,None,space,1.1372666759998538,8.572203782387078,None,980.6510915380204,None,980.6510915380204,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
67,Trial # 63,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9785.jpg,0,encoded_Group2_IMG_9785.jpg,,,,,0.0,62.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.4041722880212,None,990.4041722880212,None,990.4041722880212,None,5.0,2.24783321400173,990.4041722880212,None,990.4041722880212,None,2.0,3.703030475007836,992.204018258024,None,990.4041722880212,None,2.0,7.076015936996555,993.6710577410122,None,990.4041722880212,None,space,1.4494602869963271,6.539472621399909,None,990.4041722880212,None,990.4041722880212,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
68,Trial # 64,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0440.jpg,0,encoded_Group2_IMG_0440.jpg,,,,,0.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.4220610590128,None,998.4220610590128,None,998.4220610590128,None,6.0,3.0654598900000565,998.4220610590128,None,998.4220610590128,None,4.0,6.353981481981464,1001.0412490300076,None,998.4220610590128,None,1.0,8.094612815009896,1004.3413625270186,None,998.4220610590128,None,space,0.4870296220178716,8.124120208405657,None,998.4220610590128,None,998.4220610590128,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
69,Trial # 65,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1695.jpg,0,encoded_Group2_IMG_1695.jpg,,,,,0.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.0589122550156,None,1007.0589122550156,None,1007.0589122550156,None,1.0,1.7990499869920311,1007.0589122550156,None,1007.0589122550156,None,1.0,2.320793771010358,1008.4086084320152,None,1007.0589122550156,None,1.0,2.9270727339899167,1008.9415742660058,None,1007.0589122550156,None,space,0.7874422759923618,2.956331684370525,None,1007.0589122550156,None,1007.0589122550156,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
70,Trial # 66,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0552.jpg,1,Group1_IMG_0552.jpg,,,,,0.0,65.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.8270655650122,None,1010.8270655650122,None,1010.8270655650122,None,1.0,1.7628722730150912,1010.8270655650122,None,1010.8270655650122,None,1.0,2.252251758996863,1012.1431600340002,None,1010.8270655650122,None,1.0,2.889619227993535,1012.6429073080072,None,1010.8270655650122,None,space,0.5179416190076154,2.9173811043729074,None,1010.8270655650122,None,1010.8270655650122,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
71,Trial # 67,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_1029.jpg,1,Group1_IMG_1029.jpg,,,,,0.0,66.0,66.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.2949339059996,None,1014.2949339059996,None,1014.2949339059996,None,4.0,3.897730875003617,1014.2949339059996,None,1014.2949339059996,None,2.0,8.754983819002518,1017.7449821920018,None,1014.2949339059996,None,2.0,12.960164001007795,1020.7127186700236,None,1014.2949339059996,None,space,3.878907743986929,10.121414036373608,None,1014.2949339059996,None,1014.2949339059996,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
72,Trial # 68,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_6517.jpg,0,encoded_Group2_IMG_6517.jpg,,,,,0.0,67.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028.3319662790163,None,1028.3319662790163,None,1028.3319662790163,None,1.0,1.815790095017292,1028.3319662790163,None,1028.3319662790163,None,1.0,2.505452379002236,1029.6995988690178,None,1028.3319662790163,None,1.0,3.177236463001464,1030.3993356980209,None,1028.3319662790163,None,space,0.7194341019785497,3.206569559406489,None,1028.3319662790163,None,1028.3319662790163,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
73,Trial # 69,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0002.jpg,0,encoded_Group2_IMG_0002.jpg,,,,,0.0,68.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.282370254019,None,1032.282370254019,None,1032.282370254019,None,3.0,1.8481039019825405,1032.282370254019,None,1032.282370254019,None,1.0,5.237036734004505,1033.683483890025,None,1032.282370254019,None,2.0,9.511398533999454,1037.0842003350265,None,1032.282370254019,None,space,2.105046145996312,9.541161676403137,None,1032.282370254019,None,1032.282370254019,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
