Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,text_16.started,text_16.stopped,participant,session,date,expName,psychopyVersion,frameRate
Trial # 37,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_2656.jpg,1,Group1_IMG_2656.jpg,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,248.2973462,None,,,1,0.228607248,250.7798907,None,250.7798907,None,,,249.6139169,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 38,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0207.jpg,1,Group1_IMG_0207.jpg,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,251.0295265,None,,,1,0.318103659,253.4984062,None,253.4984062,None,,,252.3468429,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 39,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9638.jpg,1,Group1_IMG_9638.jpg,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,253.8485541,None,,,1,0.837265271,256.3312342,None,256.3312342,None,,,255.1644419,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 40,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0148.jpg,1,Group1_IMG_0148.jpg,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,257.1985966,None,,,1,0.30235635,259.6661446,None,259.6661446,None,,,258.5156881,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 41,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_2891.jpg,1,Group1_IMG_2891.jpg,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,259.99949,None,,,1,1.25356154,262.4829398,None,262.4829398,None,,,261.3163203,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 42,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0157.jpg,1,Group1_IMG_0157.jpg,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,263.7674762,None,,,1,1.157283983,266.2512171,None,266.2512171,None,,,265.0840566,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 43,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9833.jpg,1,Group1_IMG_9833.jpg,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,267.4345843,None,,,0,1.881571138,269.9188614,None,269.9188614,None,,,268.7530474,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 44,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_2230.jpg,0,encoded_Group2_IMG_2230.jpg,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,271.8195426,None,,,1,1.567507907,274.3049171,None,274.3049171,None,,,273.1377045,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 45,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9966.jpg,1,Group1_IMG_9966.jpg,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,275.9043039,None,,,0,2.267064969,278.3893698,None,278.3893698,None,,,277.2211091,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 46,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0239.jpg,1,Group1_IMG_0239.jpg,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,280.6889896,None,,,1,2.219001043,283.1574991,None,283.1574991,None,,,281.9892919,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
