,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion
246,Trial # 94,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_9761.jpg,0,encoded_Group2_IMG_9761.jpg,,,,,,,,,0.0,93.0,93.0,93.0,,,,,,,,,,,,,,,1313.090464556939,None,,,0,1.2771304100751877,1315.556747760973,None,1315.556747760973,None,,,1314.3897169419795,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
247,Trial # 95,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_2690.jpg,1,Group1_IMG_2690.jpg,,,,,,,,,0.0,94.0,94.0,94.0,,,,,,,,,,,,,,,1316.856901007006,None,,,1,1.5090214619413018,1319.3248653989283,None,1319.3248653989283,None,,,1318.158763141022,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
248,Trial # 96,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9855.jpg,1,Group1_IMG_9855.jpg,,,,,,,,,0.0,95.0,95.0,95.0,,,,,,,,,,,,,,,1320.8584489829373,None,,,1,0.6906754969386384,1323.3272148149554,None,1323.3272148149554,None,,,1322.1924284630222,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
249,Trial # 97,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0470.jpg,0,encoded_Group2_IMG_0470.jpg,,,,,,,,,0.0,96.0,96.0,96.0,,,,,,,,,,,,,,,1324.0428442939883,None,,,0,0.8434766830177978,1326.510432112031,None,1326.510432112031,None,,,1325.3431592120323,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
250,Trial # 98,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_1191.jpg,0,encoded_Group2_IMG_1191.jpg,,,,,,,,,0.0,97.0,97.0,97.0,,,,,,,,,,,,,,,1327.378559852019,None,,,1,0.6926116370595992,1329.8612117109587,None,1329.8612117109587,None,,,1328.6781199160032,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
251,Trial # 99,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9937.jpg,1,Group1_IMG_9937.jpg,,,,,,,,,0.0,98.0,98.0,98.0,,,,,,,,,,,,,,,1330.5782620899845,None,,,1,0.4191926680505276,1333.046687379945,None,1333.046687379945,None,,,1331.87798982393,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
252,Trial # 100,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0106.jpg,0,encoded_Group2_IMG_0106.jpg,,,,,,,,,0.0,99.0,99.0,99.0,,,,,,,,,,,,,,,1333.4971471949248,None,,,0,1.022028524894267,1335.9798590189312,None,1335.9798590189312,None,,,1334.8464900649851,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
253,Trial # 101,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_2790.jpg,1,Group1_IMG_2790.jpg,,,,,,,,,0.0,100.0,100.0,100.0,,,,,,,,,,,,,,,1337.030875738943,None,,,0,7.031688165967353,1339.5142508340068,None,1339.5142508340068,None,,,1338.331570346956,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
254,Trial # 102,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9792.jpg,1,Group1_IMG_9792.jpg,,,,,,,,,0.0,101.0,101.0,101.0,,,,,,,,,,,,,,,1346.566322708968,None,,,0,0.3360763590317219,1349.033825527993,None,1349.033825527993,None,,,1347.867005513981,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
255,Trial # 103,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_1640.jpg,1,Group1_IMG_1640.jpg,,,,,,,,,0.0,102.0,102.0,102.0,,,,,,,,,,,,,,,1349.400769655011,None,,,1,0.5976164710009471,1351.8842960080365,None,1351.8842960080365,None,,,1350.7011106660357,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
