,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
32,Trial # 33,layer9-17_T10_to_T12.jpg,layer9-17/layer9-17_T10_to_T12.jpg,TT,layer9-17,0.0,32.0,32.0,32.0,,,,,,,,,482.0050577712245,None,4.0,9.55491710593924,482.0050577712245,None,482.0050577712245,None,482.0050577712245,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
33,Trial # 34,layer0-5_T2_to_T6.jpg,layer0-5/layer0-5_T2_to_T6.jpg,TT,layer0-5,0.0,33.0,33.0,33.0,,,,,,,,,491.92423597117886,None,1.0,4.137566379271448,491.92423597117886,None,491.92423597117886,None,491.92423597117886,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
34,Trial # 35,layer6-8_T11_to_T2.jpg,layer6-8/layer6-8_T11_to_T2.jpg,TT,layer6-8,0.0,34.0,34.0,34.0,,,,,,,,,500.54398372909054,None,4.0,17.544512691907585,500.54398372909054,None,500.54398372909054,None,500.54398372909054,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
35,Trial # 36,layer6-8_O4_to_T3.jpg,layer6-8/layer6-8_O4_to_T3.jpg,OT,layer6-8,0.0,35.0,35.0,35.0,,,,,,,,,518.4645150410943,None,3.0,4.02120810514316,518.4645150410943,None,518.4645150410943,None,518.4645150410943,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
36,Trial # 37,layer6-8_O3_to_T11.jpg,layer6-8/layer6-8_O3_to_T11.jpg,OT,layer6-8,0.0,36.0,36.0,36.0,,,,,,,,,523.4997925781645,None,2.0,2.792446024250239,523.4997925781645,None,523.4997925781645,None,523.4997925781645,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
37,Trial # 38,layer6-8_T1_to_T2.jpg,layer6-8/layer6-8_T1_to_T2.jpg,TT,layer6-8,0.0,37.0,37.0,37.0,,,,,,,,,526.5842963159084,None,1.0,2.693083235062659,526.5842963159084,None,526.5842963159084,None,526.5842963159084,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
38,Trial # 39,layer9-17_O2_to_O6.jpg,layer9-17/layer9-17_O2_to_O6.jpg,OO,layer9-17,0.0,38.0,38.0,38.0,,,,,,,,,551.0082351858728,None,4.0,3.1013839980587363,551.0082351858728,None,551.0082351858728,None,551.0082351858728,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
39,Trial # 40,layer9-17_O4_to_T2.jpg,layer9-17/layer9-17_O4_to_T2.jpg,OT,layer9-17,0.0,39.0,39.0,39.0,,,,,,,,,554.5098093040287,None,2.0,2.420578404329717,554.5098093040287,None,554.5098093040287,None,554.5098093040287,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
40,Trial # 41,layer6-8_O5_to_T3.jpg,layer6-8/layer6-8_O5_to_T3.jpg,OT,layer6-8,0.0,40.0,40.0,40.0,,,,,,,,,557.243782967329,None,3.0,4.738920812960714,557.243782967329,None,557.243782967329,None,557.243782967329,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
41,Trial # 42,layer6-8_O2_to_O3.jpg,layer6-8/layer6-8_O2_to_O3.jpg,OO,layer6-8,0.0,41.0,41.0,41.0,,,,,,,,,562.5287955389358,None,4.0,3.178284348919988,562.5287955389358,None,562.5287955389358,None,562.5287955389358,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
42,Trial # 43,layer6-8_O1_to_T6.jpg,layer6-8/layer6-8_O1_to_T6.jpg,OT,layer6-8,0.0,42.0,42.0,42.0,,,,,,,,,566.0799716641195,None,3.0,2.892058955971152,566.0799716641195,None,566.0799716641195,None,566.0799716641195,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
