,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,Unnamed: 94
253,Trial # 99,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9937.jpg,1,Group1_IMG_9937.jpg,,,,,,,,,0.0,98.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.4463399688248,None,1484.4463399688248,None,1484.4463399688248,None,1.0,1.9374237072188407,1484.4463399688248,None,1484.4463399688248,None,1.0,2.4600046582054347,1485.9308218308724,None,1484.4463399688248,None,2.0,3.0004567899741232,1486.463673303835,None,1484.4463399688248,None,space,0.3696532910689711,3.0187232771422714,None,1484.4463399688248,None,1484.4463399688248,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
254,Trial # 100,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0106.jpg,0,encoded_Group2_IMG_0106.jpg,,,,,,,,,0.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.898528090911,None,1487.898528090911,None,1487.898528090911,None,1.0,1.225264071021229,1487.898528090911,None,1487.898528090911,None,1.0,2.0139785909559578,1488.664704399882,None,1487.898528090911,None,5.0,2.8208201858215034,1489.4648928060196,None,1487.898528090911,None,space,0.2297818139195442,2.843647080240771,None,1487.898528090911,None,1487.898528090911,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
255,Trial # 101,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_2790.jpg,1,Group1_IMG_2790.jpg,,,,,,,,,0.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.9986761529,None,1490.9986761529,None,1490.9986761529,None,1.0,1.3730822431389242,1490.9986761529,None,1490.9986761529,None,1.0,1.8967023049481213,1491.9153837219346,None,1490.9986761529,None,7.0,2.868376574013382,1492.449877387844,None,1490.9986761529,None,space,0.1984180349390953,2.888571571325884,None,1490.9986761529,None,1490.9986761529,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
256,Trial # 102,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9792.jpg,1,Group1_IMG_9792.jpg,,,,,,,,,0.0,101.0,101.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.1167579228058,None,1494.1167579228058,None,1494.1167579228058,None,1.0,1.491109027992934,1494.1167579228058,None,1494.1167579228058,None,1.0,1.9807391338981688,1495.1500503609425,None,1494.1167579228058,None,3.0,2.3857475500553846,1495.6505530988798,None,1494.1167579228058,None,space,0.2688070819713175,2.408029060345143,None,1494.1167579228058,None,1494.1167579228058,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
257,Trial # 103,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_1640.jpg,1,Group1_IMG_1640.jpg,,,,,,,,,0.0,102.0,102.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.8505508378148,None,1496.8505508378148,None,1496.8505508378148,None,6.0,2.192596791079268,1496.8505508378148,None,1496.8505508378148,None,3.0,2.8826539360452443,1498.584066082025,None,1496.8505508378148,None,2.0,3.621076832991093,1499.2842286308296,None,1496.8505508378148,None,space,0.2691523588728159,3.6431247536093,None,1496.8505508378148,None,1496.8505508378148,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
258,Trial # 104,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0033.jpg,1,Group1_IMG_0033.jpg,,,,,,,,,0.0,103.0,103.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.8184251198545,None,1500.8184251198545,None,1500.8184251198545,None,5.0,1.8045541669707743,1500.8184251198545,None,1500.8184251198545,None,2.0,2.628190197981894,1502.1683540788945,None,1500.8184251198545,None,2.0,3.032661966979504,1503.003026481019,None,1500.8184251198545,None,space,0.1877288990654051,3.0525053103920072,None,1500.8184251198545,None,1500.8184251198545,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
259,Trial # 105,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0079.jpg,1,Group1_IMG_0079.jpg,,,,,,,,,0.0,104.0,104.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504.1034117478412,None,1504.1034117478412,None,1504.1034117478412,None,4.0,4.973034543916583,1504.1034117478412,None,1504.1034117478412,None,2.0,3.644371427129954,1505.536556696985,None,1504.1034117478412,None,2.0,4.182959964964539,1507.3040574549232,None,1504.1034117478412,None,space,1.048448520945385,4.203655941179022,None,1504.1034117478412,None,1504.1034117478412,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
260,Trial # 106,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_9909.jpg,0,encoded_Group2_IMG_9909.jpg,,,,,,,,,0.0,105.0,105.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.4045816699509,None,1509.4045816699509,None,1509.4045816699509,None,1.0,1.3258412079885602,1509.4045816699509,None,1509.4045816699509,None,1.0,1.7152102428954097,1510.272112997016,None,1509.4045816699509,None,3.0,2.053476381115616,1510.6714083529075,None,1509.4045816699509,None,space,0.410123246954754,2.0771339281927794,None,1509.4045816699509,None,1509.4045816699509,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
261,Trial # 107,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0398.jpg,0,encoded_Group2_IMG_0398.jpg,,,,,,,,,0.0,106.0,106.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.9375394419767,None,1511.9375394419767,None,1511.9375394419767,None,4.0,1.7088371249847114,1511.9375394419767,None,1511.9375394419767,None,3.0,2.365782083012164,1513.1900224378332,None,1511.9375394419767,None,2.0,3.171183507889509,1513.8558689239435,None,1511.9375394419767,None,space,-0.2250258449930697,3.1935406003613025,None,1511.9375394419767,None,1511.9375394419767,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
262,Trial # 108,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_4268.jpg,1,Group1_IMG_4268.jpg,,,,,,,,,0.0,107.0,107.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.155944907805,None,1515.155944907805,None,1515.155944907805,None,7.0,2.073332282016054,1515.155944907805,None,1515.155944907805,None,2.0,4.797583589097485,1516.773733563954,None,1515.155944907805,None,2.0,6.235290640965104,1517.807588996831,None,1515.155944907805,None,space,0.1453891401179134,6.258038275176659,None,1515.155944907805,None,1515.155944907805,None,,,,,,,,,1,2022_Apr_14_1153,SAR-soap,2021.1.2,
