,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
39,Trial # 40,layer9-17_O4_to_T2.jpg,layer9-17/layer9-17_O4_to_T2.jpg,OT,layer9-17,0.0,39.0,39.0,39.0,,,,,,,,,179.67924621794373,None,2.0,4.806407557800412,179.67924621794373,None,179.67924621794373,None,179.67924621794373,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
40,Trial # 41,layer6-8_O5_to_T3.jpg,layer6-8/layer6-8_O5_to_T3.jpg,OT,layer6-8,0.0,40.0,40.0,40.0,,,,,,,,,184.814227885101,None,3.0,60.42732709180564,184.814227885101,None,184.814227885101,None,184.814227885101,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
41,Trial # 42,layer6-8_O2_to_O3.jpg,layer6-8/layer6-8_O2_to_O3.jpg,OO,layer6-8,0.0,41.0,41.0,41.0,,,,,,,,,245.7669825020712,None,4.0,7.674018200021237,245.7669825020712,None,245.7669825020712,None,245.7669825020712,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
42,Trial # 43,layer6-8_O1_to_T6.jpg,layer6-8/layer6-8_O1_to_T6.jpg,OT,layer6-8,0.0,42.0,42.0,42.0,,,,,,,,,254.03574490896423,None,2.0,8.75998955196701,254.03574490896423,None,254.03574490896423,None,254.03574490896423,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
43,Trial # 44,layer6-8_O2_to_T12.jpg,layer6-8/layer6-8_O2_to_T12.jpg,OT,layer6-8,0.0,43.0,43.0,43.0,,,,,,,,,265.2723857269157,None,3.0,5.316828045994043,265.2723857269157,None,265.2723857269157,None,265.2723857269157,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
44,Trial # 45,layer9-17_O2_to_O8.jpg,layer9-17/layer9-17_O2_to_O8.jpg,OO,layer9-17,0.0,44.0,44.0,44.0,,,,,,,,,271.72547711711377,None,4.0,5.474690405884758,271.72547711711377,None,271.72547711711377,None,271.72547711711377,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
45,Trial # 46,layer9-17_O10_to_O4.jpg,layer9-17/layer9-17_O10_to_O4.jpg,OO,layer9-17,0.0,45.0,45.0,45.0,,,,,,,,,278.527039132081,None,2.0,4.205923760076985,278.527039132081,None,278.527039132081,None,278.527039132081,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
46,Trial # 47,layer0-5_O1_to_O4.jpg,layer0-5/layer0-5_O1_to_O4.jpg,OO,layer0-5,0.0,46.0,46.0,46.0,,,,,,,,,283.0112754169386,None,1.0,2.244504507863894,283.0112754169386,None,283.0112754169386,None,283.0112754169386,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
47,Trial # 48,layer0-5_T4_to_T5.jpg,layer0-5/layer0-5_T4_to_T5.jpg,TT,layer0-5,0.0,47.0,47.0,47.0,,,,,,,,,285.64657967397943,None,1.0,2.4426697918679565,285.64657967397943,None,285.64657967397943,None,285.64657967397943,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
48,Trial # 49,layer9-17_T12_to_T8.jpg,layer9-17/layer9-17_T12_to_T8.jpg,TT,layer9-17,0.0,48.0,48.0,48.0,,,,,,,,,288.66304740007035,None,2.0,2.0049735200591385,288.66304740007035,None,288.66304740007035,None,288.66304740007035,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
