Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
Trial # 16,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0383.jpg,1,Group1_IMG_0383.jpg,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.9755768,None,179.9755768,None,179.9755768,None,3,0.642760374,179.9755768,None,179.9755768,None,3,1.098708953,180.1592347,None,179.9755768,None,3,1.570992783,180.6259058,None,179.9755768,None,space,0.112355595,1.594345654,None,179.9755768,None,179.9755768,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 17,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0456.jpg,0,encoded_Group2_IMG_0456.jpg,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.7261989,None,181.7261989,None,181.7261989,None,3,0.643246099,181.7261989,None,181.7261989,None,2,1.016588552,181.9092935,None,181.7261989,None,2,1.423070859,182.2928783,None,181.7261989,None,space,0.22426774,1.446856454,None,181.7261989,None,181.7261989,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 18,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_8390.jpg,0,encoded_Group2_IMG_8390.jpg,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.4267239,None,183.4267239,None,183.4267239,None,2,0.598062327,183.4267239,None,183.4267239,None,1,1.054629888,183.5765606,None,183.4267239,None,6,1.560266601,184.0426653,None,183.4267239,None,space,0.206347978,1.590035582,None,183.4267239,None,183.4267239,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 19,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0011.jpg,1,Group1_IMG_0011.jpg,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.2947625,None,185.2947625,None,185.2947625,None,3,1.159563169,185.2947625,None,185.2947625,None,2,1.61605961,185.9953979,None,185.2947625,None,2,2.155754398,186.4607911,None,185.2947625,None,space,0.122546563,2.178966407,None,185.2947625,None,185.2947625,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 20,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0328.jpg,0,encoded_Group2_IMG_0328.jpg,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.6275489,None,187.6275489,None,187.6275489,None,1,0.717040858,187.6275489,None,187.6275489,None,1,1.24126514,187.894665,None,187.6275489,None,1,1.71200875,188.4282881,None,187.6275489,None,space,0.143241118,1.743858278,None,187.6275489,None,187.6275489,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 21,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0163.jpg,0,encoded_Group2_IMG_0163.jpg,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.5618319,None,189.5618319,None,189.5618319,None,4,1.077579961,189.5618319,None,189.5618319,None,4,1.534532361,190.1788155,None,189.5618319,None,2,2.106244649,190.6464724,None,189.5618319,None,space,0.153272418,2.131785221,None,189.5618319,None,189.5618319,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 22,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9862.jpg,1,Group1_IMG_9862.jpg,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8790248,None,191.8790248,None,191.8790248,None,1,0.697236283,191.8790248,None,191.8790248,None,1,1.187578609,192.1293302,None,191.8790248,None,1,1.625570779,192.6292772,None,191.8790248,None,space,0.206608092,1.654287151,None,191.8790248,None,191.8790248,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 23,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0296.jpg,0,encoded_Group2_IMG_0296.jpg,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.7961865,None,193.7961865,None,193.7961865,None,4,0.711874751,193.7961865,None,193.7961865,None,3,1.233785262,194.0461612,None,193.7961865,None,3,1.638944836,194.5792134,None,193.7961865,None,space,0.169943004,1.664961373,None,193.7961865,None,193.7961865,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 24,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0503.jpg,0,encoded_Group2_IMG_0503.jpg,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6804199,None,195.6804199,None,195.6804199,None,4,0.69707066,195.6804199,None,195.6804199,None,2,1.187436421,195.9317723,None,195.6804199,None,2,1.626911945,196.4310738,None,195.6804199,None,space,0.15784377,1.653694207,None,195.6804199,None,195.6804199,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 25,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9804.jpg,0,encoded_Group2_IMG_9804.jpg,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5313265,None,197.5313265,None,197.5313265,None,1,0.712008992,197.5313265,None,197.5313265,None,1,1.167872592,197.7818803,None,197.5313265,None,1,1.63949849,198.2472923,None,197.5313265,None,space,0.154962667,1.665972502,None,197.5313265,None,197.5313265,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 26,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0391.jpg,1,Group1_IMG_0391.jpg,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.4149201,None,199.4149201,None,199.4149201,None,4,0.699996575,199.4149201,None,199.4149201,None,2,1.191764062,199.664974,None,199.4149201,None,1,1.596143366,200.1651839,None,199.4149201,None,space,0.152515865,1.625414183,None,199.4149201,None,199.4149201,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 27,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_3584.jpg,0,encoded_Group2_IMG_3584.jpg,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2325155,None,201.2325155,None,201.2325155,None,3,0.677841009,201.2325155,None,201.2325155,None,1,1.16719791,201.4494867,None,201.2325155,None,2,1.637864449,201.9496866,None,201.2325155,None,space,0.094290345,1.663504547,None,201.2325155,None,201.2325155,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 28,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0434.jpg,0,encoded_Group2_IMG_0434.jpg,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.015398,None,203.015398,None,203.015398,None,4,0.654302128,203.015398,None,203.015398,None,3,1.144227516,203.2165356,None,203.015398,None,2,1.68114832,203.7161663,None,203.015398,None,space,0.068037801,1.701370213,None,203.015398,None,203.015398,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 29,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9575.jpg,0,encoded_Group2_IMG_9575.jpg,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.8495082,None,204.8495082,None,204.8495082,None,2,0.704334622,204.8495082,None,204.8495082,None,1,1.160194437,205.1010989,None,204.8495082,None,1,1.565938044,205.5667681,None,204.8495082,None,space,0.077977689,1.600252207,None,204.8495082,None,204.8495082,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
Trial # 30,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1025.jpg,0,encoded_Group2_IMG_1025.jpg,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5672975,None,206.5672975,None,206.5672975,None,1,0.665678363,206.5672975,None,206.5672975,None,1,1.121405119,206.7841788,None,206.5672975,None,1,1.59290165,207.2508322,None,206.5672975,None,space,0.03259816,1.621565175,None,206.5672975,None,206.5672975,None,,,,,,,,,Jack Whitcomb-2nd,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
